"","unitSamplingEpisodeID","treeID","plotID","treeTagNo","speciesID","dbh_in","ht_ft","htlc_ft","cbh_ft","statusID","notes","dateCreated","crownScorch_.","maxScorchHt_ft","minBoleChar_ft","maxBoleChar_ft","burnSeverity","unitName","Error"
"1522",10,2093,173,3557,936,1.2,9,0,0,1,"","11/14/2016",0,NA,0,0,1,"Orion 2","Logical Bound (Live w/o Live Crown)"
"15552",10,2112,173,3576,1029,0.4,5,0,4,1,"","11/14/2016",100,5,0,0.1,3,"Orion 2","Logical Bound (Live w/o Live Crown)"
"2279",15,1838,255,3939,1030,11,42,0,0,1,"","11/14/2016",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Logical Bound (Live w/o Live Crown)"
"550",5,2302,71,460,917,5.9,58,NA,29,6,"","11/14/2016",0,NA,NA,NA,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"575",5,2259,65,417,936,5.5,19,NA,6,6,"","11/14/2016",NA,NA,1,5,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"576",5,2260,65,418,1029,12.5,71,NA,26,6,"","11/14/2016",NA,NA,0.1,5,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"577",5,2261,65,419,1029,7.3,52,NA,42,6,"","11/14/2016",NA,NA,0.1,6,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"579",5,2263,67,421,1029,30.7,61,NA,NA,6,"","11/14/2016",NA,NA,0,5,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"610",5,2334,73,492,1030,3,18,NA,4,6,"","11/14/2016",NA,NA,1,3,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"617",5,2341,75,499,1030,9.7,39,NA,2.5,6,"","11/14/2016",NA,NA,2,4.5,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"623",5,2347,77,3655,1029,7.7,51,NA,24,6,"","11/14/2016",NA,NA,0.1,1.5,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"639",5,2349,77,3657,1030,1.8,20,NA,4,6,"","11/14/2016",NA,NA,0.1,0.1,NA,"Paradise 90","Logical Bound (Dead Trees w/ improper data)"
"1273",10,2047,171,993,1029,0.6,6,NA,1,6,"","11/14/2016",NA,NA,3,3,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1303",10,2037,171,983,1029,1.4,11,NA,1,6,"","11/14/2016",NA,NA,0.1,2,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1336",10,1989,167,935,1029,4.8,40,NA,NA,6,"","11/14/2016",NA,NA,3,7,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1374",10,2027,169,973,1029,2.2,11,NA,NA,6,"","11/14/2016",NA,NA,0,0,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1383",10,2157,177,1223,2,0.4,5,NA,NA,6,"","11/14/2016",NA,NA,0.1,0.1,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1467",10,2241,179,1308,936,0.4,5,NA,NA,6,"","11/14/2016",NA,NA,0,0,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1470",10,2122,175,3586,1029,1,7,NA,NA,6,"","11/14/2016",0,NA,0.1,1,1,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1474",10,2126,175,3590,1029,2.2,18,NA,NA,6,"","11/14/2016",NA,NA,0.1,2,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1475",10,2127,175,3591,1029,2.8,18,NA,NA,6,"","11/14/2016",NA,NA,0.1,1,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1491",10,2143,175,1209,1029,1.2,6,NA,NA,6,"","11/14/2016",NA,NA,0.1,0.1,NA,"Orion 2","Logical Bound (Dead Trees w/ improper data)"
"1563",11,1154,187,433,1029,7.2,28,NA,10,6,"","11/8/2016",0,NA,NA,NA,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1606",11,1210,191,489,1030,3.2,30,NA,8,6,"","11/8/2016",NA,NA,5,10,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1626",11,1231,191,2425,917,10.2,74,NA,6,6,"","11/8/2016",NA,NA,11,12,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1651",11,1256,193,2468,1030,4.5,8,NA,1,6,"","11/8/2016",NA,NA,0.1,1,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1660",11,1225,191,2419,917,4.7,18,NA,6,6,"","11/8/2016",NA,18,3,6,3,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1711",11,1194,189,473,1030,3.1,31,NA,4,6,"","11/8/2016",NA,NA,0.1,4,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1734",11,1217,191,496,917,11.5,32,NA,26,6,"","11/8/2016",NA,NA,8,16,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1740",11,1223,191,2417,1030,3.3,20,NA,16,6,"","11/8/2016",100,20,4,6,3,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1753",11,1520,191,2438,917,7.9,18,NA,NA,6,"","11/10/2016",NA,NA,3,10,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1757",11,1524,191,2442,1030,1.7,15,NA,9,6,"","11/10/2016",NA,NA,2,6,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1770",11,1172,187,451,1030,11.4,39,NA,15,6,"","11/8/2016",0,NA,0.1,2,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1784",11,1266,193,2478,1029,1.8,12,NA,5,6,"","11/8/2016",NA,NA,4,5,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"1785",11,1173,189,452,917,4.9,13,NA,3,6,"","11/8/2016",0,NA,NA,NA,NA,"Angel","Logical Bound (Dead Trees w/ improper data)"
"2107",14,1467,243,129,1030,2.5,25,NA,6,6,"","11/9/2016",100,25,4,8,3,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"2113",14,1350,231,1352,970,1.6,10,NA,5,6,"","11/9/2016",100,10,2,3,3,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"2114",14,1351,231,1353,970,3.2,12,NA,6,6,"","11/9/2016",100,12,3,7,3,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"2115",14,1352,231,1354,970,3.1,12,NA,7,6,"","11/9/2016",100,12,4,8,3,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"2127",14,1364,231,26,1029,5.9,31,NA,21,6,"","11/9/2016",NA,NA,5,13,NA,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"21461",14,1384,233,46,1029,2.8,20,0,NA,6,"","11/9/2016",100,20,20,20,5,"Chumstick ZUI","Logical Bound (Dead Trees w/ improper data)"
"17031",11,1186,189,465,1030,3.4,29,17,7,1,"","11/8/2016",100,29,0.1,0.1,2,"Angel","Logical Bound (BrnSev 2 Crwn Srch 0 or 100)"
"634",5,2358,79,3666,1029,3,21,9.5,8.5,1,"","11/14/2016",1,0,NA,NA,1,"Paradise 90","Logical Bound (BrnSev1 Crwn Srch > 0)"
"2109",14,1429,241,91,858,6.7,47,15,11,1,"","11/9/2016",5,13,0,0,1,"Chumstick ZUI","Logical Bound (BrnSev1 Crwn Srch > 0)"
"1881",1,2665,14,1886,1029,24.3,16.7,27.4,27.4,1,"","11/23/2016",NA,NA,NA,NA,NA,"Canteen","Regression: Ht~DBH (StdRes > |3.5|)"
"369",2,3105,31,639,1030,23.6,31.6,11.4,8.5,1,"","12/3/2016",NA,NA,NA,NA,NA,"Oak Creek","Regression: Ht~DBH (StdRes > |3.5|)"
"494",4,2363,43,303,1030,27,21,NA,NA,6,"","11/16/2016",NA,NA,NA,NA,NA,"Hanlon","Regression: Ht~DBH (StdRes > |3.5|)"
"5791",5,2263,67,421,1029,30.7,61,NA,NA,6,"","11/14/2016",NA,NA,0,5,NA,"Paradise 90","Regression: Ht~DBH (StdRes > |3.5|)"
"673",6,2912,85,3698,1029,17.1,15,NA,NA,6,"","11/29/2016",NA,NA,NA,NA,NA,"Sherman Creek","Regression: Ht~DBH (StdRes > |3.5|)"
"697",6,2936,87,122,1029,14.3,9,NA,NA,6,"","11/29/2016",NA,NA,NA,NA,NA,"Sherman Creek","Regression: Ht~DBH (StdRes > |3.5|)"
"919",8,2864,137,1854,4,19.3,9,NA,NA,6,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Ht~DBH (StdRes > |3.5|)"
"1004",8,2799,129,1990,1029,29.5,25,NA,NA,6,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Ht~DBH (StdRes > |3.5|)"
"10792",9,956,149,641,1030,1.3,81,2,3,1,"Top broken","",NA,NA,NA,NA,NA,"Goat","Regression: Ht~DBH (StdRes > |3.5|)"
"1147",9,1036,155,767,1030,21,11,NA,NA,6,"","",NA,NA,NA,NA,NA,"Goat","Regression: Ht~DBH (StdRes > |3.5|)"
"1261",9,978,151,619,1030,1.8,70,NA,NA,6,"Leaning","",NA,NA,NA,NA,NA,"Goat","Regression: Ht~DBH (StdRes > |3.5|)"
"13281",10,1981,165,927,1029,23.3,49,38,32,1,"","11/14/2016",100,49,1,7,3,"Orion 2","Regression: Ht~DBH (StdRes > |3.5|)"
"1857",12,325,205,531,1030,18.3,8,NA,NA,6,"","",NA,NA,NA,NA,NA,"25 Mile","Regression: Ht~DBH (StdRes > |3.5|)"
"1862",12,333,207,539,1029,14.5,12,NA,NA,6,"","",NA,NA,NA,NA,NA,"25 Mile","Regression: Ht~DBH (StdRes > |3.5|)"
"1876",13,125,221,NA,860,11.8,0,NA,NA,1,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1949",13,122,221,NA,860,11.8,0,NA,NA,1,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1956",13,252,225,NA,860,13.2,0,NA,NA,6,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1957",13,253,225,NA,860,11.5,0,NA,NA,6,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1961",13,257,225,NA,860,12.6,0,NA,NA,6,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1980",13,276,226,NA,860,14.2,0,NA,NA,1,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"1990",13,286,226,NA,860,11.4,0,NA,NA,6,"","",NA,NA,NA,NA,NA,"2","Regression: Ht~DBH (StdRes > |3.5|)"
"2307",15,1744,251,3345,1029,15,11,NA,NA,6,"","11/14/2016",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Regression: Ht~DBH (StdRes > |3.5|)"
"24821",16,3013,275,729,1030,11.8,109,20,60,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Ht~DBH (StdRes > |3.5|)"
"2488",16,3019,277,735,1030,14.1,6,NA,0.5,6,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Ht~DBH (StdRes > |3.5|)"
"2513",16,3044,281,760,2,18.5,6,NA,NA,6,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Ht~DBH (StdRes > |3.5|)"
"2516",16,3047,283,764,1030,23.7,6,NA,NA,6,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Ht~DBH (StdRes > |3.5|)"
"418",2,3154,36,689,858,25.1,93.1,5,5,1,"","12/5/2016",NA,NA,NA,NA,NA,"Oak Creek","Regression: Htlc~Ht (StdRes > |3.5|)"
"651",6,2890,81,3676,1030,13.1,90,66,66,1,"","11/28/2016",NA,NA,NA,NA,NA,"Sherman Creek","Regression: Htlc~Ht (StdRes > |3.5|)"
"734",6,2973,97,716,1030,9.4,69,57,45,1,"","11/29/2016",NA,NA,NA,NA,NA,"Sherman Creek","Regression: Htlc~Ht (StdRes > |3.5|)"
"844",7,65,111,233,917,10.4,60,51,51,1,"","",NA,NA,NA,NA,NA,"Vulcan","Regression: Htlc~Ht (StdRes > |3.5|)"
"905",8,2771,125,1962,1029,21.9,125,89,85,1,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Htlc~Ht (StdRes > |3.5|)"
"920",8,2865,137,1855,1030,20.8,97,7,7,1,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Htlc~Ht (StdRes > |3.5|)"
"975",8,2812,131,335,1030,21,91,8,8,1,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Htlc~Ht (StdRes > |3.5|)"
"1020",8,2797,129,1988,1029,22.1,104,13,13,1,"","11/28/2016",NA,NA,NA,NA,NA,"8 Mile Bottom","Regression: Htlc~Ht (StdRes > |3.5|)"
"10791",9,956,149,641,1030,1.3,81,2,3,1,"Top broken","",NA,NA,NA,NA,NA,"Goat","Regression: Htlc~Ht (StdRes > |3.5|)"
"1098",9,987,151,610,952,20,92,64,47,1,"Tagged on bark due to unsafe widow maker","",NA,NA,NA,NA,NA,"Goat","Regression: Htlc~Ht (StdRes > |3.5|)"
"1113",9,878,143,574,1030,24.4,106,6,2,1,"","",NA,NA,NA,NA,NA,"Goat","Regression: Htlc~Ht (StdRes > |3.5|)"
"15961",11,1322,199,696,1029,10.5,34,50,34,1,"","11/8/2016",15,44,0.1,4,2,"Angel","Regression: Htlc~Ht (StdRes > |3.5|)"
"1832",12,323,205,529,1030,23.8,94,10,6,1,"","",NA,NA,NA,NA,NA,"25 Mile","Regression: Htlc~Ht (StdRes > |3.5|)"
"24541",16,2985,267,701,1030,17.1,103,10,90,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Htlc~Ht (StdRes > |3.5|)"
"24581",16,2989,267,705,1030,25.2,109,9,100,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Htlc~Ht (StdRes > |3.5|)"
"24591",16,2990,267,706,1030,15.6,111,8,101,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Htlc~Ht (StdRes > |3.5|)"
"24601",16,2991,267,707,1030,27.1,131,20,120,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Htlc~Ht (StdRes > |3.5|)"
"2464",16,2995,267,711,1030,27.4,121,85,35,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Regression: Htlc~Ht (StdRes > |3.5|)"
